Provinsi,Kab/Kota,latitude,longitude
BANTEN,KOTA CILEGON,-5.99890225249943,106.0184895583685
BANTEN,KOTA SERANG,-6.123329971489561,106.16675011658796
BANTEN,KOTA TANGERANG,-6.184374533491158,106.65199465790984
BANTEN,KOTA TANGERANG SELATAN,-6.302123570429463,106.7073856686419
BANTEN,LEBAK,-6.642105504523179,106.2124224324558
BANTEN,PANDEGLANG,-6.590328399897697,105.74291693799972
BANTEN,SERANG,-6.141766994569981,106.1460776375536
BANTEN,TANGERANG,-6.174491179381579,106.5189283788098
DI YOGYAKARTA,BANTUL,-7.901344799616768,110.35488006215415
DI YOGYAKARTA,GUNUNG KIDUL,-7.993948784309952,110.61179879402954
DI YOGYAKARTA,KOTA YOGYAKARTA,-7.803298442456689,110.37435813117193
DI YOGYAKARTA,KULON PROGO,-7.818736917629182,110.1671126699369
DI YOGYAKARTA,SLEMAN,-7.7164782963524985,110.38321196172524
DKI JAKARTA,KEPULAUAN SERIBU,-5.70045137705527,106.57897115412605
DKI JAKARTA,KOTA JAKARTA BARAT,-6.165226636178484,106.74820786264836
DKI JAKARTA,KOTA JAKARTA PUSAT,-6.181257995691344,106.83478448844848
DKI JAKARTA,KOTA JAKARTA SELATAN,-6.272527991244007,106.80995706955127
DKI JAKARTA,KOTA JAKARTA TIMUR,-6.254802238910388,106.90063031825775
DKI JAKARTA,KOTA JAKARTA UTARA,-6.127191590210693,106.86654590109065
JAWA BARAT,BANDUNG,-7.097622047287634,107.60871481954858
JAWA BARAT,BANDUNG BARAT,-6.890473577089236,107.41497037817317
JAWA BARAT,BEKASI,-6.219794251806843,107.12171641801038
JAWA BARAT,BOGOR,-6.55983232815243,106.76705093966673
JAWA BARAT,CIAMIS,-7.290308849944385,108.4286702195938
JAWA BARAT,CIANJUR,-7.131087584083695,107.15920943748978
JAWA BARAT,CIREBON,-6.7462612812752525,108.55217922702747
JAWA BARAT,GARUT,-7.359562537891762,107.78790783569306
JAWA BARAT,INDRAMAYU,-6.447514365372873,108.16902462075683
JAWA BARAT,KARAWANG,-6.252353489153732,107.35429605025818
JAWA BARAT,KOTA BANDUNG,-6.919243848670472,107.63660129164965
JAWA BARAT,KOTA BANJAR,-7.3769902616322875,108.56720422020868
JAWA BARAT,KOTA BEKASI,-6.2808412065072705,106.97536482879576
JAWA BARAT,KOTA BOGOR,-6.593494349656441,106.79935742822698
JAWA BARAT,KOTA CIMAHI,-6.886320669219558,107.5428958971862
JAWA BARAT,KOTA CIREBON,-6.741720428720865,108.55330544119158
JAWA BARAT,KOTA DEPOK,-6.39620664660233,106.81683699755683
JAWA BARAT,KOTA SUKABUMI,-6.939940221347112,106.92435672249908
JAWA BARAT,KOTA TASIKMALAYA,-7.360532543082255,108.21912419997489
JAWA BARAT,KUNINGAN,-7.003404888412825,108.5598185253343
JAWA BARAT,MAJALENGKA,-6.815146796097807,108.257202952717
JAWA BARAT,PANGANDARAN,-7.635665477849803,108.5185828514322
JAWA BARAT,PURWAKARTA,-6.595278211232852,107.43077631252655
JAWA BARAT,SUBANG,-6.484718768394913,107.73182889627351
JAWA BARAT,SUKABUMI,-7.076433858435366,106.70756024950302
JAWA BARAT,SUMEDANG,-6.8247794014676835,107.98127564181834
JAWA BARAT,TASIKMALAYA,-7.496844150033674,108.14157174879253
JAWA TENGAH,BANJARNEGARA,-7.351360606613551,109.65703624621355
JAWA TENGAH,BANYUMAS,-7.455537569212916,109.17579816454581
JAWA TENGAH,BATANG,-7.021021538268143,109.86159432757827
JAWA TENGAH,BLORA,-7.074486341362423,111.38743859786935
JAWA TENGAH,BOYOLALI,-7.416567276005462,110.65248476263783
JAWA TENGAH,BREBES,-7.062844673950303,108.92953056319085
JAWA TENGAH,CILACAP,-7.489024790342701,108.88988880586629
JAWA TENGAH,DEMAK,-6.910803353435083,110.6339996536083
JAWA TENGAH,GROBOGAN,-7.11765727369022,110.9271797413308
JAWA TENGAH,JEPARA,-6.549103977628725,110.76814383707374
JAWA TENGAH,KARANGANYAR,-7.61415864893524,111.01924939217108
